"State: (0, 0)","State: (0, 1)","State: (0, 2)","State: (0, 3)","State: (0, 4)","State: (0, 5)","Wall: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","Wall: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","State: (2, 2)","State: (2, 3)","Wall: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","Wall: (3, 4)","State: (3, 5)","State: (4, 0)","Wall: (4, 1)","State: (4, 2)","State: (4, 3)","State: (4, 4)","State: (4, 5)","State: (5, 0)","State: (5, 1)","State: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)"
1,-0.039999999,-0.039999999,-0.039999999,-0.039999999,-0.039999999,0,-1,-0.039999999,-0.039999999,0,-0.039999999,1,-0.039999999,-1,-0.039999999,0,-0.039999999,-0.039999999,1,-0.039999999,-1,0,-0.039999999,-0.039999999,0,1,-0.039999999,-1,-0.039999999,1,-1,-0.039999999,1,-0.039999999,-0.039999999
53.41196535,50.26490031,47.59358569,45.29519727,44.57759956,42.2902361,0,31.36694769,32.21162311,32.64561634,0,29.4262502,29.23195187,28.73796353,27.49224482,27.42176397,0,23.06794065,24.402994,25.69315937,25.91379487,25.03647117,0,22.14868228,24.51509471,0,29.34817091,28.48648048,26.9570044,26.1947381,29.57039417,27.89888069,27.67944941,28.54640395,27.98639559,27.41057548
78.07638148,76.71979316,75.52142869,74.36748693,73.33803254,72.19865778,0,74.45594589,74.39743091,73.47771603,0,71.19735097,73.87542878,73.38363343,72.34150608,72.46992126,0,70.20904126,72.80727847,72.44762013,62.05538257,59.23152401,0,57.46654494,55.78800599,0,62.21415094,61.15758356,59.23986427,58.53838978,56.83663037,54.82363032,60.72120207,61.45356856,60.45771335,59.50552888
89.68314759,88.19417958,86.86531655,85.58393492,84.44231632,83.17817463,0,85.79983375,85.61527902,84.58215382,0,82.06707291,85.08776018,84.58730585,83.4344183,83.46204725,0,80.97006624,83.98132146,84.21486202,82.78434158,81.34064662,0,79.88697646,82.85998805,0,79.56122748,78.5191877,76.12166757,73.13555718,83.63269247,72.90309733,75.22460447,75.80768677,74.94442725,73.85762749
95.14514673,93.59388248,92.20360847,90.86225522,89.66785354,88.3449981,0,91.13812567,90.89425821,89.80776353,0,87.18222827,90.35961902,89.85916124,88.65455882,88.63479937,0,86.03407017,89.23696702,89.76720333,88.57437884,86.5294972,0,84.90034047,88.0629636,0,88.34826611,85.45355372,83.03188463,83.70346036,88.78278358,86.41766342,86.93963032,85.42319655,82.23588185,81.43519374
97.71549529,96.13491521,94.71574195,93.34616681,92.12692608,90.77644067,0,93.65025915,93.37847986,92.26687017,0,89.58935648,92.84048813,92.34003035,91.11109172,91.0690319,0,88.41712716,91.69265465,92.21993513,91.02232506,88.940893,0,87.25956695,90.49409375,0,90.97238268,89.70373787,87.46169889,86.26660679,91.18958852,88.80039999,89.68982906,89.80347703,88.50277583,85.50818743
98.92506921,97.33069347,95.89792059,94.51506458,93.28413489,91.92064717,0,94.83243779,94.54752354,93.42409504,0,90.72212094,94.00795414,93.50749636,92.26710542,92.21455132,0,89.538564,92.84814421,93.37301019,92.16281047,90.11273295,0,88.36978945,91.63802844,0,92.10043307,90.8235889,88.5686621,87.5993926,92.32208392,89.92157047,90.80466381,90.90771436,89.59626946,88.33698835
